#dtype=bool
#shape=15,15
	H0	E1	H2	H3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14
H0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
E1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1
H2	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
H3	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1
E4	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
E5	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
E6	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
E7	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
E8	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1
E9	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
E10	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
E11	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
E12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
E13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
E14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
