#dtype=float64
#shape=15,15
	H0	E1	H2	H3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14
H0	1	0	0	0	-0.458831	-0.114708	0	0	0	0.114708	0	0	0	0.458831	0.458831
E1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E4	-0.458831	0	0	0	1	0.0526316	0	0	0	-0.0526316	0	0	0	-1	-1
E5	-0.114708	0	0	0	0.0526316	1	0	0	0	0.0526316	0	0	0	-0.0526316	-0.0526316
E6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9	0.114708	0	0	0	-0.0526316	0.0526316	0	0	0	1	0	0	0	0.0526316	0.0526316
E10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E13	0.458831	0	0	0	-1	-0.0526316	0	0	0	0.0526316	0	0	0	1	1
E14	0.458831	0	0	0	-1	-0.0526316	0	0	0	0.0526316	0	0	0	1	1
