#dtype=float64
#shape=31,31
	H0	E1	E2	E3	H4	E5	H6	E7	E8	E9	E10	H11	E12	E13	E14	E15	H16	E17	E18	E19	E20	E21	E22	E23	H24	H25	E26	H27	E28	E29	E30
H0	1	-0.663747	-0.2446	-0.2446	0.2446	0	-0.0228755	0.892143	0	0	0	-0.168345	-0.0146789	-0.168345	-0.168345	0	0.681385	0.168345	-0.168345	-0.168345	-0.168345	0.168345	-0.2446	0.168345	0.168345	0.308257	0.308257	-0.3669	0.78022	-0.168345	-0.168345
E1	-0.663747	1	0.368514	0.368514	-0.368514	0	0.0657952	-0.592157	0	0	0	0.253629	0.182953	0.253629	0.253629	0	-0.452267	0.207514	0.253629	0.253629	0.253629	0.207514	0.368514	0.207514	0.207514	-0.182953	0.0985134	0.552771	-0.453033	0.253629	0.253629
E2	-0.2446	0.368514	1	1	0.111111	0	0.509175	-0.218218	0	0	0	-0.0764719	-0.140028	-0.0764719	-0.0764719	0	-0.166667	0.0764719	-0.0764719	-0.0764719	-0.0764719	0.0764719	-0.111111	0.0764719	0.0764719	0.140028	0.140028	-0.166667	-0.2446	-0.0764719	-0.0764719
E3	-0.2446	0.368514	1	1	0.111111	0	0.509175	-0.218218	0	0	0	-0.0764719	-0.140028	-0.0764719	-0.0764719	0	-0.166667	0.0764719	-0.0764719	-0.0764719	-0.0764719	0.0764719	-0.111111	0.0764719	0.0764719	0.140028	0.140028	-0.166667	-0.2446	-0.0764719	-0.0764719
H4	0.2446	-0.368514	0.111111	0.111111	1	0	0.218218	0.218218	0	0	0	0.0764719	-0.793492	-0.688247	-0.688247	0	0.166667	-0.0764719	-0.688247	-0.688247	-0.688247	-0.0764719	-0.444444	-0.0764719	-0.0764719	0.326732	0.326732	-0.25	-0.104828	-0.688247	-0.688247
E5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H6	-0.0228755	0.0657952	0.509175	0.509175	0.218218	0	1	0.047619	0	0	0	0.350438	-0.27501	-0.150188	-0.150188	0	0.218218	0.150188	-0.150188	-0.150188	-0.150188	0.150188	0.145479	0.150188	0.150188	0.27501	0.27501	-0.327327	-0.0228755	-0.150188	-0.150188
E7	0.892143	-0.592157	-0.218218	-0.218218	0.218218	0	0.047619	1	0	0	0	-0.150188	0.0305566	-0.150188	-0.150188	0	0.763763	0.150188	-0.150188	-0.150188	-0.150188	0.150188	-0.218218	0.150188	0.150188	0.27501	0.27501	-0.327327	0.892143	-0.150188	-0.150188
E8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H11	-0.168345	0.253629	-0.0764719	-0.0764719	0.0764719	0	0.350438	-0.150188	0	0	0	1	-0.0963739	-0.0526316	-0.0526316	0	-0.114708	0.0526316	-0.0526316	-0.0526316	-0.0526316	0.0526316	0.688247	0.0526316	0.0526316	0.0963739	0.0963739	-0.114708	-0.168345	-0.0526316	-0.0526316
E12	-0.0146789	0.182953	-0.140028	-0.140028	-0.793492	0	-0.27501	0.0305566	0	0	0	-0.0963739	1	0.546119	0.546119	0	-0.210042	0.0963739	0.546119	0.546119	0.546119	0.0963739	0.326732	0.0963739	0.0963739	-0.215686	-0.215686	0.140028	0.2789	0.546119	0.546119
E13	-0.168345	0.253629	-0.0764719	-0.0764719	-0.688247	0	-0.150188	-0.150188	0	0	0	-0.0526316	0.546119	1	1	0	-0.114708	0.0526316	-0.0526316	-0.0526316	-0.0526316	0.0526316	-0.0764719	0.0526316	0.0526316	0.0963739	0.0963739	-0.114708	0.312641	-0.0526316	-0.0526316
E14	-0.168345	0.253629	-0.0764719	-0.0764719	-0.688247	0	-0.150188	-0.150188	0	0	0	-0.0526316	0.546119	1	1	0	-0.114708	0.0526316	-0.0526316	-0.0526316	-0.0526316	0.0526316	-0.0764719	0.0526316	0.0526316	0.0963739	0.0963739	-0.114708	0.312641	-0.0526316	-0.0526316
E15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H16	0.681385	-0.452267	-0.166667	-0.166667	0.166667	0	0.218218	0.763763	0	0	0	-0.114708	-0.210042	-0.114708	-0.114708	0	1	0.114708	-0.114708	-0.114708	-0.114708	0.114708	-0.166667	0.114708	0.114708	0.210042	0.210042	-0.25	0.681385	-0.114708	-0.114708
E17	0.168345	0.207514	0.0764719	0.0764719	-0.0764719	0	0.150188	0.150188	0	0	0	0.0526316	0.0963739	0.0526316	0.0526316	0	0.114708	1	0.0526316	0.0526316	0.0526316	1	0.0764719	1	1	0.546119	0.546119	0.114708	0.168345	0.0526316	0.0526316
E18	-0.168345	0.253629	-0.0764719	-0.0764719	-0.688247	0	-0.150188	-0.150188	0	0	0	-0.0526316	0.546119	-0.0526316	-0.0526316	0	-0.114708	0.0526316	1	1	1	0.0526316	0.688247	0.0526316	0.0526316	-0.546119	-0.546119	0.458831	-0.168345	1	1
