#dtype=float64
#shape=31,5
	sheet_id	found_in	occurrence	average_length	coord_variance
H0	0	7	0.35	4	0.591848
E1	1	9	0.45	2.44444	352.622
E2	2	2	0.1	4	0.0042325
E3	2	2	0.1	4	0.0043885
H4	0	18	0.9	4	1.0473
E5	1	20	1	8.05	30.6631
H6	0	6	0.3	4	83.3244
E7	3	6	0.3	1	0.543447
E8	1	20	1	7.9	23.2605
E9	1	20	1	8.85	5.40462
E10	1	20	1	10	34.1963
H11	0	1	0.05	3	0
E12	1	3	0.15	2.66667	17.9062
E13	4	1	0.05	1	0
E14	4	1	0.05	1	0
E15	1	20	1	5.35	24.0211
H16	0	4	0.2	4	4.76982
E17	1	19	0.95	9.26316	213.633
E18	5	1	0.05	1	0
E19	1	1	0.05	1	0
E20	5	1	0.05	1	0
E21	1	19	0.95	8.05263	247.639
E22	1	2	0.1	2.5	33.697
E23	1	19	0.95	8	236.601
H24	0	19	0.95	13.7368	390.761
H25	0	17	0.85	3.17647	315.749
E26	1	17	0.85	2	7.62264
H27	0	4	0.2	4	44.7473
E28	3	7	0.35	1	0.86953
E29	6	1	0.05	1	0
E30	6	1	0.05	1	0
