#dtype=float64
#shape=116,5
	sheet_id	found_in	occurrence	average_length	coord_variance
E0	1	9	0.036	1.11111	21.4316
H1	0	31	0.124	4.29032	17.0673
H2	0	56	0.224	3	12.7964
E3	2	127	0.508	1.31496	43.7842
E4	2	44	0.176	1.02273	40.3116
H5	0	75	0.3	3	17.6762
E6	2	51	0.204	1.01961	24.5631
H7	0	117	0.468	5.51282	49.082
E8	3	1	0.004	1	0
H9	0	83	0.332	3.3253	15.8721
H10	0	76	0.304	3.81579	18.3724
E11	3	5	0.02	1.6	16.1424
E12	3	6	0.024	1.5	54.0315
H13	0	249	0.996	10.988	41.0916
H14	0	9	0.036	3	23.7367
E15	2	249	0.996	4.98394	16.3648
H16	0	2	0.008	3	39.8129
E17	4	10	0.04	1	2.4545
H18	0	11	0.044	3	54.1866
E19	4	2	0.008	1	3.03787
E20	2	250	1	5.028	13.7017
H21	0	10	0.04	3.6	5.42127
H22	0	249	0.996	9.46185	9.74027
H23	0	239	0.956	3.69038	12.2609
E24	2	3	0.012	1	0.489263
E25	2	238	0.952	2.13866	10.8462
X26	0	0	0	0	0
H27	0	117	0.468	4.06838	28.1038
X28	0	0	0	0	0
H29	0	9	0.036	5.55556	69.591
H30	0	166	0.664	7.37952	37.2209
X31	0	0	0	0	0
E32	4	6	0.024	2.16667	102.843
H33	0	6	0.024	5	149.215
E34	4	16	0.064	1.1875	201.798
H35	0	47	0.188	5.34043	38.1127
H36	0	216	0.864	3.54167	16.7594
E37	4	2	0.008	1	0.386385
H38	0	3	0.012	4.66667	90.2102
H39	0	234	0.936	14.7564	18.6964
E40	5	1	0.004	1	0
H41	0	32	0.128	5.375	10.6257
H42	0	52	0.208	6.36538	12.1
E43	5	1	0.004	1	0
H44	0	250	1	21.972	39.6975
H45	0	22	0.088	3.36364	62.0879
E46	6	5	0.02	1	0.192813
E47	6	200	0.8	2.345	7.29599
H48	0	12	0.048	4	1.01795
H49	0	250	1	17.688	5.64315
E50	7	2	0.008	1	1.40938
H51	0	83	0.332	3.98795	84.9436
H52	0	40	0.16	13.35	29.1941
H53	0	211	0.844	16.109	44.8449
E54	8	15	0.06	1	8.7876
H55	0	11	0.044	4.36364	89.494
E56	9	3	0.012	1	112.01
H57	0	59	0.236	7.44068	49.3765
H58	0	61	0.244	6	76.6725
H59	0	13	0.052	6.15385	133.141
E60	9	4	0.016	1	167.988
H61	0	250	1	24.188	57.4102
E62	7	1	0.004	1	0
H63	0	53	0.212	3.24528	85.6817
E64	7	3	0.012	1	113.874
H65	0	250	1	8.672	24.5754
E66	10	108	0.432	1.5463	27.4167
H67	0	67	0.268	3.1194	69.1625
H68	0	12	0.048	15.25	8.23575
E69	10	108	0.432	1.5463	31.3971
H70	0	247	0.988	32.3846	24.7586
H71	0	13	0.052	6.46154	132.065
H72	0	250	1	12.108	28.9464
H73	0	4	0.016	5.25	12.5346
H74	0	109	0.436	6.88991	17.8546
H75	0	250	1	14.316	8.16807
E76	11	2	0.008	1	1.49882
H77	0	3	0.012	3.66667	22.9386
E78	11	108	0.432	1.01852	5.92256
E79	2	9	0.036	1	64.259
E80	2	245	0.98	4.55918	20.8752
E81	2	6	0.024	2	0.900211
E82	1	249	0.996	2.90763	13.8633
H83	0	10	0.04	3	2.41998
E84	1	249	0.996	2.90763	13.3055
E85	2	250	1	4.256	8.74667
H86	0	250	1	6.036	5.47922
H87	0	244	0.976	3.88115	8.28641
H88	0	37	0.148	3	5.86445
H89	0	102	0.408	4.28431	8.54613
E90	12	36	0.144	1	2.68148
H91	0	9	0.036	3	11.3718
E92	12	36	0.144	1	3.06581
E93	13	3	0.012	2	1.11914
H94	0	52	0.208	4.17308	22.2787
E95	13	3	0.012	2	1.45183
E96	14	5	0.02	1.8	19.3712
H97	0	50	0.2	3.52	33.9124
H98	0	76	0.304	3	8.76576
E99	14	5	0.02	1.8	61.5753
H100	0	250	1	18.664	5.55491
H101	0	2	0.008	5	0.0318996
E102	15	114	0.456	4.30702	8.76818
E103	16	1	0.004	1	0
H104	0	91	0.364	3.05495	41.9641
E105	16	1	0.004	1	0
E106	17	236	0.944	1.96186	19.2792
H107	0	13	0.052	3	23.6769
H108	0	9	0.036	3	6.48515
E109	8	14	0.056	1	2.91129
E110	11	110	0.44	1.10909	8.72266
E111	17	236	0.944	2.05085	17.3373
H112	0	14	0.056	3.64286	22.7412
E113	6	196	0.784	2.82143	11.7425
E114	15	114	0.456	4.67544	17.0989
H115	0	51	0.204	3.31373	18.9896
