#dtype=float64
#shape=65,5
	sheet_id	found_in	occurrence	average_length	coord_variance
H0	0	5	0.02	5.2	109.441
E1	1	1	0.004	1	0
X2	0	0	0	0	0
H3	0	41	0.164	3.60976	46.0533
H4	0	9	0.036	4.55556	118.711
H5	0	8	0.032	5.25	120.459
H6	0	173	0.692	4.19653	13.1419
E7	1	49	0.196	2.20408	8.67549
X8	0	0	0	0	0
E9	1	245	0.98	8.42041	37.538
E10	2	3	0.012	3	50.7486
H11	0	162	0.648	6.62963	46.0032
H12	0	121	0.484	9.01653	31.558
H13	0	7	0.028	4.14286	82.2388
X14	0	0	0	0	0
E15	2	21	0.084	1.47619	28.8253
X16	0	0	0	0	0
E17	1	1	0.004	1	0
E18	1	245	0.98	7.35102	30.1131
X19	0	0	0	0	0
H20	0	11	0.044	3	16.0519
E21	1	6	0.024	1.16667	37.4006
E22	1	245	0.98	8.01633	35.4275
E23	1	2	0.008	2.5	51.1736
H24	0	39	0.156	3.64103	49.8004
E25	1	2	0.008	2.5	92.6294
E26	1	244	0.976	8.54508	54.5182
E27	1	7	0.028	2.85714	104.394
H28	0	2	0.008	3	160.859
E29	1	115	0.46	4.42609	29.2461
H30	0	19	0.076	3	24.9178
E31	1	15	0.06	4.46667	31.2406
E32	1	154	0.616	6.95455	91.3152
H33	0	22	0.088	3	43.6201
E34	1	245	0.98	6.42857	60.7922
H35	0	2	0.008	3	0.123364
X36	0	0	0	0	0
X37	0	0	0	0	0
E38	1	31	0.124	2.54839	75.2936
H39	0	50	0.2	3.36	51.7986
E40	1	6	0.024	1	29.1646
E41	1	248	0.992	8.59274	30.4694
H42	0	17	0.068	3	25.6811
X43	0	0	0	0	0
E44	1	250	1	8.288	25.7892
H45	0	14	0.056	4.28571	97.9571
H46	0	6	0.024	4.5	1.35401
E47	1	6	0.024	1	0.322233
H48	0	6	0.024	4	0.43762
H49	0	6	0.024	10	0.445283
H50	0	20	0.08	3.85	42.3057
E51	1	4	0.016	1.25	62.2935
E52	1	249	0.996	8.74699	37.0008
E53	1	1	0.004	1	0
H54	0	8	0.032	4	187.372
H55	0	8	0.032	7.375	146.505
E56	1	3	0.012	1.33333	40.1151
H57	0	127	0.508	12.7559	32.426
H58	0	87	0.348	3.24138	45.1972
E59	1	9	0.036	2	7.55866
E60	1	117	0.468	2.64957	22.7694
H61	0	68	0.272	4.11765	29.4499
E62	2	18	0.072	1.05556	4.44843
H63	0	46	0.184	6.43478	142.565
E64	1	5	0.02	3	0.722859
