#dtype=float64
#shape=42,5
	sheet_id	found_in	occurrence	average_length	coord_variance
H0	0	3	0.012	6.33333	164.76
E1	1	2	0.008	1	1.31003
E2	2	2	0.008	1	7.9464
E3	2	2	0.008	1	6.46723
H4	0	10	0.04	9.4	65.1247
E5	1	2	0.008	1	0.761521
H6	0	247	0.988	8.96356	1.38389
H7	0	3	0.012	3	0.495319
E8	3	241	0.964	1	0.566027
E9	4	236	0.944	1	0.392665
E10	5	249	0.996	1.9759	1.86907
H11	0	2	0.008	3	1.66018
E12	6	3	0.012	1	1.50603
E13	5	249	0.996	2.97992	1.5644
E14	5	4	0.016	1	2.07077
E15	3	241	0.964	1	0.371039
E16	5	249	0.996	3.55823	6.55915
E17	6	1	0.004	1	0
H18	0	3	0.012	7	1.85027
H19	0	3	0.012	7	2.58784
H20	0	4	0.016	3	75.8709
E21	6	4	0.016	1	108.647
H22	0	245	0.98	12.0531	6.56768
E23	4	236	0.944	1	0.708938
H24	0	250	1	21.228	3.5865
H25	0	248	0.992	8.89516	3.90239
H26	0	250	1	13.976	1.29965
H27	0	248	0.992	6.91935	3.29679
E28	7	1	0.004	4	0
H29	0	5	0.02	3.2	89.9353
E30	7	1	0.004	4	0
H31	0	249	0.996	9.04819	2.35738
H32	0	250	1	10.012	3.10748
H33	0	1	0.004	3	0
E34	8	2	0.008	1.5	11.4038
H35	0	244	0.976	5.9918	1.76077
E36	8	2	0.008	1.5	14.5626
H37	0	250	1	13.072	2.15705
E38	9	1	0.004	1	0
H39	0	239	0.956	3.43933	6.24304
E40	9	1	0.004	1	0
H41	0	3	0.012	8.33333	1.57199
