#dtype=float64
#shape=99,5
	sheet_id	found_in	occurrence	average_length	coord_variance
E0	1	22	0.088	2.22727	50.1969
E1	2	2	0.008	1	0.0990475
E2	1	19	0.076	1.89474	69.8345
E3	3	9	0.036	1	1.69346
H4	0	2	0.008	9.5	398.922
E5	3	9	0.036	1	1.55509
H6	0	48	0.192	13.9792	100.423
E7	2	2	0.008	1	0.148427
E8	4	18	0.072	1	28.1119
H9	0	9	0.036	3.77778	126.851
E10	5	20	0.08	1.2	15.3102
E11	5	249	0.996	5.73092	19.7894
E12	6	3	0.012	3.33333	8.85937
E13	6	3	0.012	4	19.2304
H14	0	37	0.148	3.54054	26.5333
H15	0	249	0.996	15.4618	39.8158
E16	5	1	0.004	1	0
H17	0	36	0.144	3.16667	52.1594
E18	5	7	0.028	1.42857	14.1166
H19	0	6	0.024	3.66667	33.5018
E20	5	62	0.248	2.45161	65.7054
E21	5	242	0.968	5.01653	36.6855
E22	5	2	0.008	1	8.74977
E23	7	2	0.008	1	14.4735
H24	0	2	0.008	3	0.554473
H25	0	19	0.076	9.73684	27.4529
H26	0	6	0.024	3.5	72.9264
E27	7	2	0.008	1	13.1795
E28	5	25	0.1	1.08	19.9066
E29	5	3	0.012	1.33333	27.3684
X30	0	0	0	0	0
H31	0	25	0.1	3.04	55.2423
H32	0	225	0.9	12	30.8153
H33	0	29	0.116	4.82759	53.0181
X34	0	0	0	0	0
X35	0	0	0	0	0
X36	0	0	0	0	0
E37	5	12	0.048	1.16667	21.4436
E38	5	248	0.992	4.46774	14.5735
H39	0	6	0.024	3	53.0287
E40	8	12	0.048	1.25	6.95612
H41	0	20	0.08	7.2	34.1448
E42	8	12	0.048	1.25	16.8311
H43	0	221	0.884	12.3122	31.6741
E44	9	3	0.012	1	2.39739
X45	0	0	0	0	0
H46	0	40	0.16	5.125	45.6179
H47	0	56	0.224	3.92857	34.2879
E48	9	3	0.012	1	0.96491
E49	5	249	0.996	4.59438	23.9288
E50	5	1	0.004	1	0
H51	0	21	0.084	3.66667	38.4918
H52	0	11	0.044	4.18182	25.3758
E53	5	12	0.048	1.08333	42.0399
H54	0	136	0.544	8.33824	21.8777
H55	0	39	0.156	4.84615	33.1627
E56	5	40	0.16	1.825	23.0819
H57	0	4	0.016	3	20.614
E58	5	175	0.7	3.73714	18.8838
H59	0	1	0.004	4	0
E60	5	38	0.152	4.23684	42.7577
E61	5	13	0.052	7.61538	54.4461
H62	0	46	0.184	4.91304	66.9695
H63	0	9	0.036	3.33333	87.7026
E64	10	3	0.012	1	7.66998
E65	11	3	0.012	1.33333	82.0277
X66	0	0	0	0	0
H67	0	22	0.088	12.4091	89.4992
H68	0	5	0.02	4	99.2633
H69	0	1	0.004	3	0
E70	11	3	0.012	1.33333	92.4203
H71	0	3	0.012	11	38.7049
H72	0	1	0.004	3	0
E73	12	1	0.004	1	0
H74	0	1	0.004	4	0
E75	12	1	0.004	1	0
H76	0	4	0.016	4	144.829
H77	0	12	0.048	4	132.263
E78	10	3	0.012	1	21.1637
H79	0	202	0.808	16.7376	75.6841
H80	0	1	0.004	3	0
E81	4	18	0.072	1	24.8349
H82	0	9	0.036	3.77778	127.197
H83	0	25	0.1	10.76	32.1264
H84	0	7	0.028	11.1429	89.3087
E85	13	24	0.096	3.04167	27.3819
H86	0	5	0.02	3	27.6249
H87	0	2	0.008	3	19.6095
E88	13	24	0.096	3.41667	33.522
E89	5	14	0.056	1.92857	54.3224
H90	0	23	0.092	3.30435	64.9314
X91	0	0	0	0	0
H92	0	17	0.068	5.94118	52.1027
E93	5	47	0.188	2.23404	33.9811
X94	0	0	0	0	0
E95	1	22	0.088	1.90909	41.1954
X96	0	0	0	0	0
H97	0	9	0.036	4.88889	105.107
X98	0	0	0	0	0
