#dtype=float64
#shape=225,5
	sheet_id	found_in	occurrence	average_length	coord_variance
H0	0	5	0.02	5	94.8962
H1	0	10	0.04	5.2	40.246
H2	0	5	0.02	10	250.903
E3	1	2	0.008	1	3.20674
H4	0	13	0.052	3.30769	31.2881
H5	0	1	0.004	8	0
H6	0	7	0.028	14	8.59525
X7	0	0	0	0	0
E8	1	14	0.056	3.07143	16.346
H9	0	18	0.072	5.16667	172.011
E10	2	3	0.012	1.33333	13.879
H11	0	70	0.28	10.7143	172.195
E12	3	10	0.04	1	37.8683
E13	4	60	0.24	2.78333	50.5347
E14	5	1	0.004	2	0
E15	4	80	0.32	2.3625	57.6889
E16	2	14	0.056	2.78571	8.52274
E17	2	3	0.012	1	0.208584
E18	6	9	0.036	1.11111	4.16363
E19	2	1	0.004	1	0
H20	0	6	0.024	3.5	255.168
E21	6	9	0.036	1.11111	3.52643
H22	0	14	0.056	12	21.5494
E23	2	16	0.064	5.75	47.1139
E24	2	4	0.016	2	0.561914
H25	0	13	0.052	3.07692	12.05
E26	7	1	0.004	1	0
E27	2	7	0.028	1.28571	4.0908
H28	0	3	0.012	3.66667	62.7927
H29	0	24	0.096	18.4167	56.1609
H30	0	15	0.06	4.26667	34.1521
E31	2	1	0.004	2	0
E32	2	249	0.996	4.85944	32.5002
H33	0	54	0.216	3.94444	73.4973
E34	8	14	0.056	1.14286	71.4039
X35	0	0	0	0	0
X36	0	0	0	0	0
E37	8	16	0.064	3.0625	91.2988
H38	0	42	0.168	7.2619	125.76
E39	8	8	0.032	1.5	81.8696
H40	0	6	0.024	3.16667	74.9822
E41	8	11	0.044	2.27273	5.68134
E42	7	11	0.044	1.72727	80.3441
H43	0	12	0.048	3.33333	54.6909
E44	7	11	0.044	1.72727	81.0226
E45	8	58	0.232	1.56897	93.5608
E46	8	22	0.088	1.04545	1.52113
H47	0	3	0.012	8.33333	1.65299
H48	0	6	0.024	4	62.6905
H49	0	2	0.008	5.5	65.9226
H50	0	245	0.98	13.2163	40.4414
H51	0	4	0.016	7	39.1989
E52	4	1	0.004	2	0
H53	0	42	0.168	4.47619	22.5301
H54	0	18	0.072	3.16667	14.7804
E55	4	13	0.052	1.07692	7.28303
E56	2	246	0.984	4.62602	30.8254
X57	0	0	0	0	0
E58	9	28	0.112	1.25	35.6715
E59	10	8	0.032	4	13.3685
H60	0	8	0.032	3	60.941
H61	0	26	0.104	4.03846	32.1413
H62	0	121	0.484	5.02479	67.2442
H63	0	6	0.024	8.83333	293.108
H64	0	2	0.008	3	0.150719
E65	10	12	0.048	3	297.764
H66	0	37	0.148	3.86486	82.0186
E67	9	28	0.112	1.21429	45.7824
H68	0	233	0.932	12.9185	54.186
E69	11	14	0.056	1.14286	29.9286
E70	12	1	0.004	1	0
H71	0	1	0.004	11	0
E72	12	1	0.004	1	0
E73	11	14	0.056	1.14286	29.9951
E74	13	4	0.016	1	5.96217
H75	0	65	0.26	4.92308	63.9562
X76	0	0	0	0	0
E77	13	4	0.016	1	6.64722
X78	0	0	0	0	0
X79	0	0	0	0	0
X80	0	0	0	0	0
X81	0	0	0	0	0
X82	0	0	0	0	0
X83	0	0	0	0	0
X84	0	0	0	0	0
X85	0	0	0	0	0
X86	0	0	0	0	0
E87	2	245	0.98	4.73878	21.5031
X88	0	0	0	0	0
H89	0	19	0.076	3.15789	49.0501
E90	10	3	0.012	1	2.50593
E91	14	26	0.104	2	86.7675
H92	0	7	0.028	3.71429	137.825
E93	14	26	0.104	2	107.638
X94	0	0	0	0	0
E95	15	13	0.052	1.07692	56.682
X96	0	0	0	0	0
H97	0	28	0.112	5.28571	92.016
E98	15	13	0.052	1.07692	65.5194
H99	0	222	0.888	12.2523	43.6421
H100	0	26	0.104	5.26923	37.4524
E101	2	1	0.004	1	0
E102	2	248	0.992	4.66935	21.3607
X103	0	0	0	0	0
E104	16	1	0.004	6	0
H105	0	1	0.004	3	0
E106	16	1	0.004	2	0
E107	16	17	0.068	1.70588	218.459
X108	0	0	0	0	0
H109	0	3	0.012	6.33333	77.1658
X110	0	0	0	0	0
H111	0	1	0.004	3	0
H112	0	1	0.004	3	0
H113	0	42	0.168	6.19048	58.7772
X114	0	0	0	0	0
E115	16	18	0.072	1.33333	149.082
